date,press,headline
3527,July 06 2016, RACHEL ABRAMS," ""Major Fire Risk Prompts Safety Agency to Recall Some Hoverboards"""
3528,July 06 2016, JANET MORRISSEY," ""Now, Finding a Cosmetic Surgeon Is Just a Click Away"""
3529,July 06 2016, THE ASSOCIATED PRESS," ""Consumer and Drug Shares Nudge the Market Higher"""
3530,July 05 2016, STEVEN DAVIDOFF SOLOMON," ""Another Hershey Deal May Come Unwrapped. Maybe It Should."""
3531,July 05 2016, MIKE McPHATE," ""Ashley Madison, Rebranding, Faces F.T.C. Inquiry"""
3532,July 05 2016, EDUARDO PORTER," ""Job Training Works. Why Not Do More?"""
3533,July 05 2016, STANLEY REED," ""Chevron Approves $37 Billion Kazakh Oil Field Expansion"""
3534,July 05 2016, DANNY HAKIM," ""In Wales, Consequences of a ‘Leave’ Vote Sink In"""
3535,July 05 2016, CHAD BRAY," ""Financial Strain Grows From ‘Brexit’ Vote"""
3536,July 06 2016, DANIEL VICTOR," ""PBS Admits Using Old Fireworks Footage in Fourth of July Broadcast"""
3537,July 06 2016, ROBERT CYRAN," ""A Tasty, High-Calorie Deal for Hostess Brands"""
3538,July 05 2016, THE ASSOCIATED PRESS," ""Four-Day Rally Skids to a Stop"""
3539,July 06 2016, PETER J. HENNING," ""S.E.C. Victories Delay Challenge on In-House Judges"""
3540,July 05 2016, MICHAEL J. de la MERCED," ""Hostess Brands, Maker of Twinkies, Selling Majority Stake for $725 Million"""
3541,July 05 2016, REUTERS," ""Bank of England Takes Steps as Brexit Risks Appear, Pound Falls"""
3542,July 06 2016, CHAD BRAY and DAVID JOLLY," ""UBS Told to Share Clients’ Account Information With France"""
3543,July 07 2016, LANDON THOMAS Jr," ""As Funds Bar Withdrawals in Britain, Unease Rises"""
3544,July 07 2016, REUTERS," ""LSE Gets U.S., Russia Nod for Brexit-Clouded Deutsche Boerse Merger"""
3545,July 07 2016, PAUL MOZUR," ""Samsung Forecasts an Increase in Profit"""
3546,July 07 2016, MATTHEW GOLDSTEIN," ""Stanley Gault, 90; Led Revivals of Rubbermaid and Goodyear"""
3547,July 07 2016, STEPHANIE STROM," ""Bill to Require Labeling of G.M.O. Foods Clears First Hurdle in the Senate"""
3548,July 06 2016, ALEXANDRA STEVENSON," ""Wall St. Scion Pleads Guilty in $40 Million Security Fraud"""
3549,July 07 2016, PETER EAVIS," ""Italy’s Plan for Banks Is Dividing Europe"""
3550,July 07 2016, JOHN KOBLIN," ""Taking On Fox News"""
3551,July 07 2016," NEAL E. BOUDETTE, BILL VLASIC and ANNALYN KURTZ"," ""U.S. Investigates Crash of a Second Tesla Vehicle"""
3552,July 06 2016, LIZ MOYER," ""Marketer of Prepaid Debit Cards Names Chief"""
3553,July 06 2016, CHAD BRAY," ""Britain Seeks a Retrial of Ex-Barclays Traders"""
3554,July 07 2016, BINYAMIN APPELBAUM," ""Fed Doubts on Economy Preceded ‘Brexit’ Vote"""
3555,July 06 2016, CHAD BRAY," ""3 More Property Funds Stop Withdrawals After ‘Brexit’ Vote"""
3556,July 06 2016, RACHEL ABRAMS," ""Major Fire Risk Prompts Safety Agency to Recall Some Hoverboards"""
3557,July 07 2016, ELIZABETH OLSON," ""Law Firm Mergers Keep Pace with 2015’s Record"""
3558,July 07 2016, SYDNEY EMBER," ""Gannett Buys The Record of Bergen County, N.J."""
3559,July 07 2016, JENNIFER SABA," ""Détente for Netflix and Comcast"""
3560,July 06 2016, JANET MORRISSEY," ""Now, Finding a Cosmetic Surgeon Is Just a Click Away"""
3561,July 06 2016, THE ASSOCIATED PRESS," ""Consumer and Drug Shares Nudge the Market Higher"""
3562,July 07 2016, MICHAEL M. GRYNBAUM and JOHN KOBLIN," ""Anchor Ousted at Fox News Accuses Chief of Harassment"""
3563,July 08 2016, THE NEW YORK TIMES," ""A Theranos Timeline"""
3564,July 08 2016, PATRICIA COHEN," ""Jobs Surge, Easing Worries and Reframing the Political Debate"""
3565,July 08 2016, JIM RUTENBERG," ""An Ex-Anchor’s Lawsuit Lashes the Levees at Fox News"""
3566,July 08 2016, ANDREW POLLACK," ""Juno Halts Cancer Treatment Trial Using Gene-Altered Cells After 3 Deaths"""
3567,July 07 2016, LANDON THOMAS Jr," ""As Funds Bar Withdrawals in Britain, Unease Rises"""
3568,July 08 2016, ANNALYN KURTZ," ""Congressional Study Faults Highway Agency Over Testing of Guardrails"""
3569,July 08 2016, LESLIE PICKER and MICHAEL J. de la MERCED," ""Investment Firm Gains Through Collaboration"""
3570,July 08 2016, MICHAEL CORKERY and CLIFFORD KRAUSS," ""Deutsche Bank Retreats From Coal Mining Deals"""
3571,July 08 2016, SYDNEY EMBER," ""Ink Hardly Dry on a Newsday Sale, Dolans Buy It Back"""
3572,July 08 2016, ANNALYN KURTZ," ""U.S. Gives Tentative O.K. for Flights to Havana"""
3573,July 07 2016, REUTERS," ""LSE Gets U.S., Russia Nod for Brexit-Clouded Deutsche Boerse Merger"""
3574,July 08 2016, GINA CHON," ""Plan to Curb Tax-Inversion Deals Could Go Too Far"""
3575,July 08 2016, WILLIAM D. COHAN," ""How to Fix Wall Street’s Flawed System of Compensation"""
3576,July 08 2016, CHAD BRAY," ""Asset Manager Extends Stay of Withdrawals in British Funds"""
3577,July 08 2016, CHAD BRAY," ""Former Barclays Traders Sentenced in Libor-Rigging Case"""
3578,July 08 2016, CHRISTOPHER JENSEN," ""Exhaust Fumes Inside Ford Explorers May Lead to a Recall"""
3579,July 08 2016, JOHN FOLEY," ""Danone Expands With WhiteWave Deal, but at a High Cost"""
3580,July 08 2016, THE ASSOCIATED PRESS," ""Market Wavers as Oil Prices Drop"""
3581,July 08 2016, NIRAJ CHOKSHI," ""Amazon’s Audible Offers Short-Form Audio Service"""
3582,July 08 2016, JAMES B. STEWART," ""A Turnaround at Ralph Lauren, Following a Road Map Used at Ford"""
3583,July 09 2016, ROBERT D. McFADDEN," ""Sydney H. Schanberg, Reporter Who Chronicled the Khmer Rouge Reign of Terror, Is Dead at 82"""
3584,July 09 2016, JOHN KOBLIN," ""Lawyers for Fox News Chairman Want Harassment Suit in Arbitration"""
3585,July 08 2016, THE NEW YORK TIMES," ""A Theranos Timeline"""
3586,July 09 2016, ROBERT CYRAN," ""Investors Doubt Proposed Deals by Aetna and Anthem"""
3587,July 09 2016, NOAM SCHEIBER," ""Claim of Retaliation at Fox Could Leave Bias in Place"""
3588,July 09 2016, STEVEN DAVIDOFF SOLOMON," ""Lawsuit Aims at Jeffrey Katzenberg and His Dual-Class Shares"""
3589,July 09 2016, STEPHEN J. LUBBEN," ""Economic Uncertainty Remains Even After ‘Brexit’"""
3590,July 09 2016, THE ASSOCIATED PRESS," ""Rousing Jobs Report Sends Wall St. Soaring"""
3591,July 09 2016, CHAD BRAY," ""Goldman Sachs Hires Former European Commission President"""
3592,July 08 2016, PATRICIA COHEN," ""Jobs Surge, Easing Worries and Reframing the Political Debate"""
3593,July 09 2016, ANDREW POLLACK," ""Theranos Chief Is Barred From Running a Lab"""
3594,July 08 2016, JIM RUTENBERG," ""An Ex-Anchor’s Lawsuit Lashes the Levees at Fox News"""
3595,July 08 2016, ANDREW POLLACK," ""Juno Halts Cancer Treatment Trial Using Gene-Altered Cells After 3 Deaths"""
3596,July 08 2016, ANNALYN KURTZ," ""Congressional Study Faults Highway Agency Over Testing of Guardrails"""
3597,July 08 2016, LESLIE PICKER and MICHAEL J. de la MERCED," ""Investment Firm Gains Through Collaboration"""
3598,July 08 2016, MICHAEL CORKERY and CLIFFORD KRAUSS," ""Deutsche Bank Retreats From Coal Mining Deals"""
3599,July 08 2016, SYDNEY EMBER," ""Ink Hardly Dry on a Newsday Sale, Dolans Buy It Back"""
3600,July 08 2016, ANNALYN KURTZ," ""U.S. Gives Tentative O.K. for Flights to Havana"""
3601,July 08 2016, GINA CHON," ""Plan to Curb Tax-Inversion Deals Could Go Too Far"""
3602,July 08 2016, WILLIAM D. COHAN," ""How to Fix Wall Street’s Flawed System of Compensation"""
3603,July 10 2016, THE NEW YORK TIMES," ""Letters"""
3604,July 10 2016, THE NEW YORK TIMES," ""Letters"""
3605,July 10 2016, THE NEW YORK TIMES," ""Protectionism: A Fleeting Promise"""
3606,July 09 2016, ROBERT D. McFADDEN," ""Sydney H. Schanberg, Reporter Who Chronicled the Khmer Rouge Reign of Terror, Is Dead at 82"""
3607,July 10 2016,As told to PATRICIA R. OLSEN," ""Where the U.N. Once Deliberated, Sage Counsel From Elmo and Grover"""
3608,July 10 2016, ALINA TUGEND," ""Childless Women to Marketers: We Buy Things Too"""
3609,July 10 2016, FARHAD MANJOO and MIKE ISAAC," ""Farhad’s and Mike’s Week in Tech: Snapchat Old Hat? Oh, and Theranos"""
3610,July 10 2016, JAVIER C. HERNÁNDEZ," ""Grand Ambitions in China"""
3611,July 09 2016, JOHN KOBLIN," ""Lawyers for Fox News Chairman Want Harassment Suit in Arbitration"""
3612,July 09 2016, ROBERT CYRAN," ""Investors Doubt Proposed Deals by Aetna and Anthem"""
3613,July 09 2016, NOAM SCHEIBER," ""Claim of Retaliation at Fox Could Leave Bias in Place"""
3614,July 09 2016, STEVEN DAVIDOFF SOLOMON," ""Lawsuit Aims at Jeffrey Katzenberg and His Dual-Class Shares"""
3615,July 09 2016, STEPHEN J. LUBBEN," ""Economic Uncertainty Remains Even After ‘Brexit’"""
3616,July 10 2016, GRETCHEN MORGENSON," ""Stung Twice by Lavish Pay at the Top"""
3617,July 09 2016, THE ASSOCIATED PRESS," ""Rousing Jobs Report Sends Wall St. Soaring"""
3618,July 09 2016, CHAD BRAY," ""Goldman Sachs Hires Former European Commission President"""
3619,July 10 2016, ADAM BRYANT," ""Either You Manage Me or I Manage You"""
3620,July 09 2016, ANDREW POLLACK," ""Theranos Chief Is Barred From Running a Lab"""
3621,July 11 2016, MICHAEL J. de la MERCED," ""Ultimate Fighting League Sells to Private Equity for $4 Billion"""
3622,July 11 2016, REED ABELSON," ""Seattle C.E.O. Wins Suit Brought by His Brother"""
3623,July 11 2016, ELIZABETH OLSON," ""Chipotle Seeks a Fresh Start After Food Safety and Drug Scandals"""
3624,July 11 2016, JOHN HERRMAN," ""As Online Video Gains Ground, Publishers Seek Automation to Expand Output"""
3625,July 11 2016, PATRICIA COHEN," ""Trump’s Tax Plan, Like G.O.P.’s, Favors the Rich"""
3626,July 11 2016, SYDNEY EMBER," ""Front-Page Editorials Aim to Salve the Grief in Stricken Communities"""
3627,July 11 2016, THE NEW YORK TIMES," ""U.S. and E.U. Trade Talks, and China’s G.D.P. Report"""
3628,July 11 2016,," ""Auctions of Treasury Securities Set for the Week of July 11"""
3629,July 11 2016, BROOKS BARNES," ""A New Disney Princesa"""
3630,July 11 2016, NEAL E. BOUDETTE," ""A Second Federal Safety Agency Is Investigating a Fatal Tesla Crash"""
3631,July 10 2016, THE NEW YORK TIMES," ""Letters"""
3632,July 10 2016, THE NEW YORK TIMES," ""Letters"""
3633,July 10 2016, THE NEW YORK TIMES," ""Protectionism: A Fleeting Promise"""
3634,July 10 2016,As told to PATRICIA R. OLSEN," ""Where the U.N. Once Deliberated, Sage Counsel From Elmo and Grover"""
3635,July 10 2016, ALINA TUGEND," ""Childless Women to Marketers: We Buy Things Too"""
3636,July 10 2016, FARHAD MANJOO and MIKE ISAAC," ""Farhad’s and Mike’s Week in Tech: Snapchat Old Hat? Oh, and Theranos"""
3637,July 10 2016, JAVIER C. HERNÁNDEZ," ""Grand Ambitions in China"""
3638,July 10 2016, GRETCHEN MORGENSON," ""Stung Twice by Lavish Pay at the Top"""
3639,July 10 2016, ADAM BRYANT," ""Either You Manage Me or I Manage You"""
3640,July 12 2016, PATRICIA COHEN," ""The Wages of Child Care"""
3641,July 12 2016, PETER EAVIS," ""Investors Seek Clues to Future for Britain"""
3642,July 12 2016, LESLIE PICKER," ""I.P.O. for Line Is Largest So Far in ’16 in Tech Field"""
3643,July 12 2016, CLIFFORD KRAUSS," ""A Good Guy  With a Drawback"""
3644,July 12 2016, JEFFREY GOLDFARB," ""Valuation Quirks Help End Proposed Polycom-Mitel Merger"""
3645,July 12 2016, JULIE CRESWELL," ""Trump and U.S. Chamber of Commerce Pull No Punches"""
3646,July 12 2016, SYDNEY EMBER," ""Politico Picks New Editor  From Its Europe Offices"""
3647,July 12 2016, ELIZABETH PATON," ""Burberry Chief to Resign, Ending Dual-Role Trial"""
3648,July 12 2016, CHAD BRAY," ""Exchanges Ease Criteria for a Merger in Europe"""
3649,July 12 2016, JULIE WEED," ""More Frequent Fliers Pay for an Upgrade Once Free"""
3650,July 12 2016, JULIE WEED," ""Tips for Getting Inexpensive or Free Upgrades to First Class"""
3651,July 12 2016, THE ASSOCIATED PRESS," ""S.&P. 500 Hits Record, as Dow Nears Peak"""
3652,July 11 2016, MICHAEL J. de la MERCED," ""Ultimate Fighting League Sells to Private Equity for $4 Billion"""
3653,July 11 2016, REED ABELSON," ""Seattle C.E.O. Wins Suit Brought by His Brother"""
3654,July 11 2016, ELIZABETH OLSON," ""Chipotle Seeks a Fresh Start After Food Safety and Drug Scandals"""
3655,July 11 2016, JOHN HERRMAN," ""As Online Video Gains Ground, Publishers Seek Automation to Expand Output"""
3656,July 11 2016, PATRICIA COHEN," ""Trump’s Tax Plan, Like G.O.P.’s, Favors the Rich"""
3657,July 11 2016, SYDNEY EMBER," ""Front-Page Editorials Aim to Salve the Grief in Stricken Communities"""
3658,July 11 2016, THE NEW YORK TIMES," ""U.S. and E.U. Trade Talks, and China’s G.D.P. Report"""
3659,July 11 2016,," ""Auctions of Treasury Securities Set for the Week of July 11"""
3660,July 13 2016, JOHN KOBLIN," ""Former Anchor Speaks Out About Harassment Suit"""
3661,July 13 2016, THE ASSOCIATED PRESS," ""F.D.A. Allows Resumption  of a Leukemia Drug Trial"""
3662,July 13 2016, BEN SISARIO," ""Fight to Make 2 Songs Free to You and Me"""
3663,July 13 2016, NICOLA CLARK," ""Airbus to Sharply Cut Production of A380 Jumbo Jets"""
3664,July 13 2016, QUENTIN WEBB," ""Bright Lights Focusing on AMC’s Purchase of Odeon & UCI Cinemas"""
3665,July 13 2016, STEVEN DAVIDOFF SOLOMON," ""Contested Sale of ExamWorks Could Put Lawyers in Line of Fire"""
3666,July 12 2016, PATRICIA COHEN," ""The Wages of Child Care"""
3667,July 13 2016, DAVID JOLLY," ""Irish G.D.P. Grows Thanks to Corporate Tax Relocations"""
3668,July 13 2016, MICHAEL J. de la MERCED," ""A Hyperloop One Founder Sues the Start-Up He Left"""
3669,July 13 2016, EDUARDO PORTER," ""With Competition in Tatters, the Rip of Inequality Widens"""
3670,July 13 2016, BILL VLASIC and NEAL E. BOUDETTE," ""Undeterred, Tesla Backs Self-Driving Technology"""
3671,July 13 2016, THE ASSOCIATED PRESS," ""Market Rally Continues With New Highs"""
3672,July 13 2016, CHAD BRAY," ""Retrial of Barclays Traders Set for February in Libor Case"""
3673,July 13 2016, EMILY FENG," ""Ikea Extends Recall to China After Criticism"""
3674,July 13 2016, AMIE TSANG," ""Chinese Developer in Talks With Blackstone on Property Purchase"""
3675,July 12 2016, PETER EAVIS," ""Investors Seek Clues to Future for Britain"""
3676,July 12 2016, LESLIE PICKER," ""I.P.O. for Line Is Largest So Far in ’16 in Tech Field"""
3677,July 12 2016, CLIFFORD KRAUSS," ""A Good Guy  With a Drawback"""
3678,July 12 2016, JEFFREY GOLDFARB," ""Valuation Quirks Help End Proposed Polycom-Mitel Merger"""
3679,July 12 2016, JULIE CRESWELL," ""Trump and U.S. Chamber of Commerce Pull No Punches"""
3680,July 14 2016," BEN PROTESS, JESSICA SILVER-GREENBERG and RACHEL ABRAMS"," ""How Private Equity Firms Quietly Cash In on Political Capital"""
3681,July 14 2016, ALEXANDRA STEVENSON and MATTHEW GOLDSTEIN," ""Report Calls Seller-Financed Home Sales ‘Toxic Transactions’"""
3682,July 14 2016, MICHAEL J. de la MERCED," ""Cravath, Swaine & Moore Law Firm Names Its First Female Leader"""
3683,July 14 2016, NOAM SCHEIBER and JESSICA SILVER-GREENBERG," ""Ousted Anchor’s Fox Contract Could Shroud Her Case in Secrecy"""
3684,July 14 2016,THE ASSOCIATED PRESS," ""Appeals Court Lets Suits Over Faulty G.M. Ignitions Proceed"""
3685,July 14 2016, STEPHEN J. LUBBEN," ""Court Rules Tort Claims Can Proceed in G.M. Ignition Switch Case"""
3686,July 14 2016, ANTONY CURRIE," ""A Need for Wall Street to Improve Efficiency"""
3687,July 14 2016, DAVID JOLLY," ""Germany Sells Bonds That Yield Under Zero"""
3688,July 14 2016, LIZ ALDERMAN," ""A Model for Britain"""
3689,July 14 2016, AMY HAIMERL," ""Family Businesses Try to Lift the Second-Generation Curse"""
3690,July 14 2016, REUTERS," ""Uber to Suspend Operations in Hungary Over New Law"""
3691,July 14 2016, THE ASSOCIATED PRESS," ""Market Manages to Eke Out Tiny Gains and More Records"""
3692,July 14 2016, SYDNEY EMBER," ""Time Inc. Reshuffles in a Digital Reinvention"""
3693,July 13 2016, JOHN KOBLIN," ""Former Anchor Speaks Out About Harassment Suit"""
3694,July 13 2016, THE ASSOCIATED PRESS," ""F.D.A. Allows Resumption  of a Leukemia Drug Trial"""
3695,July 13 2016, BEN SISARIO," ""Fight to Make 2 Songs Free to You and Me"""
3696,July 13 2016, NICOLA CLARK," ""Airbus to Sharply Cut Production of A380 Jumbo Jets"""
3697,July 13 2016, QUENTIN WEBB," ""Bright Lights Focusing on AMC’s Purchase of Odeon & UCI Cinemas"""
3698,July 13 2016, STEVEN DAVIDOFF SOLOMON," ""Contested Sale of ExamWorks Could Put Lawyers in Line of Fire"""
3699,July 13 2016, DAVID JOLLY," ""Irish G.D.P. Grows Thanks to Corporate Tax Relocations"""
3700,July 15 2016, ANDREW POLLACK," ""New Patents Aim to Delay Generics of Biologics"""
3701,July 15 2016, BEN SISARIO," ""Apple, in Seeming Jab  at Spotify, Proposes Songwriting Royalties"""
3702,July 15 2016, HIROKO TABUCHI," ""Takata Settles Airbag Suit, Averting Chief’s Testimony"""
3703,July 15 2016, PAUL J. LIM," ""Britain Votes, and Shaky U.S. Profits Shudder"""
3704,July 15 2016, JACK EWING and HIROKO TABUCHI," ""Behind a VW Settlement: Speed, Compromise and a Determined Judge"""
3705,July 15 2016, REUTERS," ""Retail Sales and Factory Production Rose in June"""
3706,July 15 2016, EMILY STEEL," ""Viacom’s Owner Says Sale of Paramount Would Harm Shareholder Value"""
3707,July 15 2016, THE ASSOCIATED PRESS," ""Market Slows After Five-Day Rally"""
3708,July 15 2016, MATTHEW GOLDSTEIN and ALEXANDRA STEVENSON," ""Herbalife Settles With Regulators, Ending Billionaires’ Battle"""
3709,July 15 2016, NEIL GOUGH and OWEN GUO," ""Growth Strategy Gone Sour"""
3710,July 15 2016, ELIZABETH OLSON," ""Firms Offering Cash to Help Young Lawyers Pay Their Student Debt"""
3711,July 15 2016, NEIL GOUGH," ""Growth in China Remains Steady"""
3712,July 15 2016, LIZ MOYER," ""New York City Pension Fund Will Sell Shares of Gun Retailers"""
3713,July 15 2016, LIZ ALDERMAN," ""A Bigger Stage for a Political Spouse Accustomed to a Supporting Role"""
3714,July 15 2016, STEPHANIE STROM," ""A Clamor for Organic"""
3715,July 15 2016,," ""Headlight Ratings"""
3716,July 15 2016, STEPHANIE STROM," ""After Years in Dispute, G.M.O. Labeling Requirement Heads to Obama"""
3717,July 15 2016, ROBERT CYRAN," ""Google’s Antitrust Charges in Europe Need Quick Action"""
3718,July 15 2016, VINDU GOEL and MICHAEL J. de la MERCED," ""Yahoo Is Said to Collect the Final Bids in an Auction for Its Core Operations"""
3719,July 15 2016, MICHAEL J. de la MERCED," ""Bayer Raises Takeover Bid for Monsanto"""
3720,July 16 2016, PHYLLIS KORKKI," ""The Sting and Salve of Paying With Cash"""
3721,July 16 2016, JOHN KOBLIN and MICHAEL M. GRYNBAUM," ""In Ex-Fox Anchor Harassment Case, Accusations of ‘Judge Shopping’"""
3722,July 15 2016, ANDREW POLLACK," ""New Patents Aim to Delay Generics of Biologics"""
3723,July 15 2016, BEN SISARIO," ""Apple, in Seeming Jab  at Spotify, Proposes Songwriting Royalties"""
3724,July 15 2016, HIROKO TABUCHI," ""Takata Settles Airbag Suit, Averting Chief’s Testimony"""
3725,July 15 2016, PAUL J. LIM," ""Britain Votes, and Shaky U.S. Profits Shudder"""
3726,July 15 2016, JACK EWING and HIROKO TABUCHI," ""Behind a VW Settlement: Speed, Compromise and a Determined Judge"""
3727,July 15 2016, REUTERS," ""Retail Sales and Factory Production Rose in June"""
3728,July 15 2016, EMILY STEEL," ""Viacom’s Owner Says Sale of Paramount Would Harm Shareholder Value"""
3729,July 16 2016, GINA CHON," ""Yahoo’s Failed Alibaba Spin Off May Benefit Other Deals"""
3730,July 15 2016, THE ASSOCIATED PRESS," ""Market Slows After Five-Day Rally"""
3731,July 15 2016, MATTHEW GOLDSTEIN and ALEXANDRA STEVENSON," ""Herbalife Settles With Regulators, Ending Billionaires’ Battle"""
3732,July 16 2016, STEVEN B. KLINSKY," ""The Carried Interest Loophole? What Loophole?"""
3733,July 16 2016, JAMES KANTER," ""Trans-Atlantic Trade Deal Talks, 14 Rounds In, Are Faltering. What’s at Stake?"""
3734,July 15 2016, NEIL GOUGH and OWEN GUO," ""Growth Strategy Gone Sour"""
3735,July 15 2016, ELIZABETH OLSON," ""Firms Offering Cash to Help Young Lawyers Pay Their Student Debt"""
3736,July 15 2016, NEIL GOUGH," ""Growth in China Remains Steady"""
3737,July 15 2016, LIZ MOYER," ""New York City Pension Fund Will Sell Shares of Gun Retailers"""
3738,July 15 2016, LIZ ALDERMAN," ""A Bigger Stage for a Political Spouse Accustomed to a Supporting Role"""
3739,July 15 2016, STEPHANIE STROM," ""A Clamor for Organic"""
3740,July 16 2016, PHYLLIS KORKKI," ""The Sting and Salve of Paying With Cash"""
3741,July 17 2016, MICHAEL M. GRYNBAUM and ASHLEY PARKER," ""A Showman, Born on ‘The Apprentice’"""
3742,July 17 2016, DAVID GELLES," ""Clearing the Cages, but Maybe Not the Conscience"""
3743,July 16 2016, JOHN KOBLIN and MICHAEL M. GRYNBAUM," ""In Ex-Fox Anchor Harassment Case, Accusations of ‘Judge Shopping’"""
3744,July 17 2016, PAUL B. BROWN," ""Message to Millennials: Start Smart"""
3745,July 17 2016, CONRAD DE AENLLE," ""Picking the Right Kind of Protection"""
3746,July 16 2016, GINA CHON," ""Yahoo’s Failed Alibaba Spin Off May Benefit Other Deals"""
3747,July 17 2016, NORM ALSTER," ""The Risk in Building on a Profitable Past"""
3748,July 17 2016, TIM GRAY," ""Plant a Garden, Then Harvest the Bounty"""
3749,July 17 2016, TIM GRAY," ""An Exit From Emerging Markets May Be Hasty"""
3750,July 17 2016, CARLA FRIED," ""Why Good News for Bond Buyers May Well Be Fleeting"""
3751,July 17 2016, JOHN SCHWARTZ," ""I (Not Entirely Just Yet, Thanks), Robot"""
3752,July 17 2016, CONRAD DE AENLLE," ""Stormy at the Top"""
3753,July 16 2016, STEVEN B. KLINSKY," ""The Carried Interest Loophole? What Loophole?"""
3754,July 17 2016, GRETCHEN MORGENSON," ""Kid Gloves for a Bank With Clout"""
3755,July 16 2016, JAMES KANTER," ""Trans-Atlantic Trade Deal Talks, 14 Rounds In, Are Faltering. What’s at Stake?"""
3756,July 17 2016, ADAM BRYANT," ""The Challenge of Keeping It Simple"""
3757,July 18 2016, BILL VLASIC," ""Fuel Targets Threatened by Demand for Big Autos"""
3758,July 18 2016, NEAL E. BOUDETTE," ""S.E.C. Is Investigating Whether Fiat Chrysler Inflated Sales Figures"""
3759,July 18 2016, JIM RUTENBERG," ""Fox Says  Ailes’s Fate Remains in Review"""
3760,July 18 2016, ANNALYN KURTZ," ""This Unruly Passenger  Just Delayed Your Flight"""
3761,July 18 2016, JIM RUTENBERG," ""G.O.P. Convention Will Push the Limits of a Candidate and the News Media"""
3762,July 18 2016, PAUL MOZUR and JONATHAN SOBLE," ""Nintendo Seeks a New Life in Gaming With Pokémon Go"""
3763,July 18 2016, LESLIE PICKER," ""SoftBank Nears Deal for ARM, U.K.’s First Big Transaction Since ‘Brexit’"""
3764,July 18 2016, BROOKS BARNES and EMILY STEEL," ""A Test for the Murdochs"""
3765,July 18 2016, JANE L. LEVERE," ""Organic Valley Highlights Its Authenticity With Table-to-Farm Visits"""
3766,July 18 2016, SYDNEY EMBER," ""Convention Will Test the Limits of Trump’s Fight With the Media"""
3767,July 18 2016, ALEXANDRA STEVENSON and MATTHEW GOLDSTEIN," ""Bridgewater  Is Said to Be  Cutting Back  Recruitment"""
3768,July 18 2016, GEORGE GENE GUSTINES," ""Tapping ’70s TV to Expand a Comic Book Lineup"""
3769,July 18 2016, THE NEW YORK TIMES," ""Banks and Tech Leaders to Post Earnings Reports"""
3770,July 18 2016,," ""Treasury Securities Auctions Set for the Week of July 18"""
3771,July 18 2016, NAZANIN LANKARANI," ""Seek Long-Term Aims Over Short-Term Results"""
3772,July 17 2016, MICHAEL M. GRYNBAUM and ASHLEY PARKER," ""A Showman, Born on ‘The Apprentice’"""
3773,July 17 2016, DAVID GELLES," ""Clearing the Cages, but Maybe Not the Conscience"""
3774,July 17 2016, PAUL B. BROWN," ""Message to Millennials: Start Smart"""
3775,July 17 2016, CONRAD DE AENLLE," ""Picking the Right Kind of Protection"""
3776,July 17 2016, NORM ALSTER," ""The Risk in Building on a Profitable Past"""
3777,July 19 2016, JACK EWING and HIROKO TABUCHI," ""Suits Trace  VW Cover-Up All the Way to the Top"""
3778,July 19 2016, JAMES KANTER," ""Price-Fixing Truck Makers  Get Record Fine in Europe"""
3779,July 19 2016, REUTERS," ""Brexit Vote Seems to Be Weighing on UK Housing Market-BoE's Woods"""
3780,July 19 2016, PETER EAVIS," ""Race Strongly Influences Mortgage Lending in St. Louis, Study Finds"""
3781,July 19 2016, ANDREW ROSS SORKIN," ""On Same  Ticket,  but Not  Same Page"""
3782,July 19 2016, EMILY STEEL," ""Netflix Disappoints With Report of a Slowdown in Subscriber Growth"""
3783,July 18 2016, BILL VLASIC," ""Fuel Targets Threatened by Demand for Big Autos"""
3784,July 19 2016, LESLIE PICKER," ""SoftBank’s ARM Deal May Signal Life After ‘Brexit.’ Or Not."""
3785,July 18 2016, NEAL E. BOUDETTE," ""S.E.C. Is Investigating Whether Fiat Chrysler Inflated Sales Figures"""
3786,July 19 2016, MICHAEL CIEPLY," ""Spielberg Among 16 Selected as Film Academy Governors"""
3787,July 18 2016, JIM RUTENBERG," ""Fox Says  Ailes’s Fate Remains in Review"""
3788,July 19 2016, ANITA RAGHAVAN," ""SoftBank-ARM Deal Brings Together Morgan Stanley Alumni"""
3789,July 19 2016, PETER J. HENNING," ""Microsoft Case Shows the Limits of a Data Privacy Law"""
3790,July 19 2016, DOMINIC ELLIOTT," ""SoftBank’s Deal With ARM Is a Financial Stretch"""
3791,July 19 2016, THE ASSOCIATED PRESS," ""Wall St. Edges Higher Still, as Tech Leads the Way"""
3792,July 19 2016, MICHAEL J. de la MERCED," ""Tech-Focused Firm Raises $700 Million for Fifth Fund"""
3793,July 18 2016, ANNALYN KURTZ," ""This Unruly Passenger  Just Delayed Your Flight"""
3794,July 19 2016," LESLIE PICKER, MARK SCOTT and JONATHAN SOBLE"," ""SoftBank  Makes Bet on Internet of Things"""
3795,July 18 2016, JIM RUTENBERG," ""G.O.P. Convention Will Push the Limits of a Candidate and the News Media"""
3796,July 18 2016, PAUL MOZUR and JONATHAN SOBLE," ""Nintendo Seeks a New Life in Gaming With Pokémon Go"""
3797,July 20 2016, AMY CORTESE," ""A New Wrinkle in the Gig Economy: Workers Get Most of the Money"""
3798,July 20 2016, MIKE ISAAC and MICHAEL J. de la MERCED," ""Dollar Shave Club Sells to Unilever for $1 Billion"""
